Kod_powiat,Wskaznik zanieczyszczenie powietrza,Liczba pojazdów samochodowych,udział powierzchni gminnych terenów zieleni w powierzchni danej jednostki terytorialnej,Powierzchnia gruntów leśnych,Powierzchnia powiatu w hektarach,Ludnośc na 1km2,Srednie wynagrodzenie,Drogi o nawierzchni twardej w km
1403,50.71428571,116365,0.0,23010.44,128485,82,6409.48,725.3
0614,50.72727273,102329,0.1,11117.11,93377,116,6871.29,577.5
1404,50.8,54022,0.0,3857.31,61487,69,6601.43,289.9
3018,50.85714286,63666,0.0,8666.93,77281,71,6071.58,569.2
1812,51,56544,0.0,12509.12,78557,82,5686.54,382.9
0405,51.16666667,50257,0.0,1605.52,61268,71,6678.54,508.1
1433,51.22222222,72001,0.0,18635.46,122075,51,6615.26,366.3
0801,51.28571429,80203,0.1,853.64,121422,61,7139.07,333.0
0402,51.6,81161,0.0,2798.21,103990,75,5919.35,521.3
1413,51.7,79029,0.0,12343.55,118183,59,6083.27,480.2
1808,51.8,54929,0.1,6775.11,58386,115,6013.13,250.6
3022,51.8,62364,0.1,1044.50,55345,106,6006.06,285.2
3015,51.83333333,92514,0.1,3362.34,101162,74,6461.0,291.9
0607,51.9,94009,0.0,7648.21,100530,90,5937.05,482.0
1609,51.92307692,121720,0.0,2507.47,153415,79,6431.26,413.8
0261,52,66581,0.9,661.33,10930,693,7101.35,132.0
0415,52,101938,0.0,2925.26,123040,92,6185.35,829.7
0461,52,286545,2.8,258.25,17596,1876,7478.19,394.2
1425,52,143625,0.0,12674.21,152974,99,6042.37,987.5
1604,52,58391,0.1,883.36,85183,72,6450.59,177.5
2262,52,204758,0.4,606.15,39151,620,7890.40,231.9
2803,52,58935,0.0,3810.94,95391,65,6074.09,267.2
3008,52,63443,0.1,1361.27,60833,92,5319.34,372.0
3026,52,60522,0.4,1395.44,57411,106,6062.53,152.4
3004,52.14285714,80536,0.1,846.65,81029,91,6455.99,415.6
1216,52.1875,181837,0.0,17199.13,141191,140,5678.11,1665.4
1819,52.2,54364,0.0,8869.83,50347,118,5641.69,301.4
1427,52.28571429,70482,0.0,4853.48,85203,57,6219.27,415.7
0201,52.33333333,73855,0.1,935.08,130349,67,6871.28,326.0
0401,52.33333333,49961,0.2,1068.14,47462,113,6019.18,514.6
3005,52.4,60179,0.1,1162.60,64390,80,6233.27,284.3
1602,52.5,44671,0.1,723.58,67266,64,6876.31,117.1
0412,52.5,43845,0.1,3317.06,58669,71,5844.89,323.2
3013,52.57142857,62498,0.1,2350.96,80583,74,6713.55,204.8
1419,52.66666667,152691,0.0,8179.30,179665,61,6536.77,846.8
1201,52.66666667,93284,0.1,7716.48,64873,165,6184.90,643.8
3030,52.8,72272,0.2,1338.34,70347,111,6441.44,449.9
1437,52.83333333,41167,0.0,8098.40,80661,44,6064.88,293.0
1806,52.83333333,61261,0.0,8633.38,77316,79,5770.90,399.5
1818,52.83333333,78144,0.1,9481.26,83174,122,6705.72,379.2
2407,52.875,71343,0.1,2424.43,82215,91,6427.79,730.8
2610,53,57236,0.1,2909.95,39541,175,6633.92,206.4
3012,53.16666667,81117,0.1,806.41,71353,106,5440.35,361.1
3025,53.2,59037,0.1,1342.88,62271,96,6736.22,309.5
1610,53.25,51312,0.1,177.98,57135,91,6491.85,151.6
1018,53.28571429,48620,0.1,4594.44,57718,72,5645.70,366.7
0208,53.28571429,148537,0.1,5113.98,164330,90,6527.23,674.9
2612,53.375,78223,0.1,7206.54,92502,75,6829.75,843.4
1432,53.57142857,176414,0.2,955.50,53379,250,7981.78,530.7
